delineation,cbsa_code,bulletin,cbsa_title,cbsa_type,csa_code,csa_title,n_counties,n_metdivs,states,valid_from,valid_to
2015,21380,15-01,"Emporia, KS",micropolitan,,,1,0,20,2015-07-15,2017-08-15
2015,21420,15-01,"Enid, OK",metropolitan,,,1,0,40,2015-07-15,2017-08-15
2015,21460,15-01,"Enterprise, AL",micropolitan,222,"Dothan-Enterprise-Ozark, AL",1,0,01,2015-07-15,2017-08-15
2015,21500,15-01,"Erie, PA",metropolitan,240,"Erie-Meadville, PA",1,0,42,2015-07-15,2017-08-15
2015,21540,15-01,"Escanaba, MI",micropolitan,,,1,0,26,2015-07-15,2017-08-15
2015,21580,15-01,"Española, NM",micropolitan,106,"Albuquerque-Santa Fe-Las Vegas, NM",1,0,35,2015-07-15,2017-08-15
2015,21640,15-01,"Eufaula, AL-GA",micropolitan,,,2,0,"01,13",2015-07-15,2017-08-15
2015,21660,15-01,"Eugene, OR",metropolitan,,,1,0,41,2015-07-15,2017-08-15
2015,21700,15-01,"Eureka-Arcata-Fortuna, CA",micropolitan,,,1,0,06,2015-07-15,2017-08-15
2015,21740,15-01,"Evanston, WY",micropolitan,,,1,0,56,2015-07-15,2017-08-15
2015,21780,15-01,"Evansville, IN-KY",metropolitan,,,4,0,"18,21",2015-07-15,2017-08-15
2015,21820,15-01,"Fairbanks, AK",metropolitan,,,1,0,02,2015-07-15,2017-08-15
2015,21840,15-01,"Fairfield, IA",micropolitan,,,1,0,19,2015-07-15,2017-08-15
2015,21860,15-01,"Fairmont, MN",micropolitan,,,1,0,27,2015-07-15,2017-08-15
2015,21900,15-01,"Fairmont, WV",micropolitan,390,"Morgantown-Fairmont, WV",1,0,54,2015-07-15,2017-08-15
2015,21980,15-01,"Fallon, NV",micropolitan,,,1,0,32,2015-07-15,2017-08-15
2015,22020,15-01,"Fargo, ND-MN",metropolitan,244,"Fargo-Wahpeton, ND-MN",2,0,"27,38",2015-07-15,2017-08-15
2015,22060,15-01,"Faribault-Northfield, MN",micropolitan,378,"Minneapolis-St. Paul, MN-WI",1,0,27,2015-07-15,2017-08-15
2015,22100,15-01,"Farmington, MO",micropolitan,476,"St. Louis-St. Charles-Farmington, MO-IL",1,0,29,2015-07-15,2017-08-15
2015,22140,15-01,"Farmington, NM",metropolitan,,,1,0,35,2015-07-15,2017-08-15
2015,22180,15-01,"Fayetteville, NC",metropolitan,246,"Fayetteville-Lumberton-Laurinburg, NC",2,0,37,2015-07-15,2017-08-15
2015,22220,15-01,"Fayetteville-Springdale-Rogers, AR-MO",metropolitan,,,4,0,"05,29",2015-07-15,2017-08-15
2015,22260,15-01,"Fergus Falls, MN",micropolitan,,,1,0,27,2015-07-15,2017-08-15
2015,22280,15-01,"Fernley, NV",micropolitan,456,"Reno-Carson City-Fernley, NV",1,0,32,2015-07-15,2017-08-15
2015,22300,15-01,"Findlay, OH",micropolitan,248,"Findlay-Tiffin, OH",1,0,39,2015-07-15,2017-08-15
2015,22340,15-01,"Fitzgerald, GA",micropolitan,,,1,0,13,2015-07-15,2017-08-15
2015,22380,15-01,"Flagstaff, AZ",metropolitan,,,1,0,04,2015-07-15,2017-08-15
2015,22420,15-01,"Flint, MI",metropolitan,220,"Detroit-Warren-Ann Arbor, MI",1,0,26,2015-07-15,2017-08-15
2015,22500,15-01,"Florence, SC",metropolitan,,,2,0,45,2015-07-15,2017-08-15
2015,22520,15-01,"Florence-Muscle Shoals, AL",metropolitan,,,2,0,01,2015-07-15,2017-08-15
2015,22540,15-01,"Fond du Lac, WI",metropolitan,,,1,0,55,2015-07-15,2017-08-15
2015,22580,15-01,"Forest City, NC",micropolitan,,,1,0,37,2015-07-15,2017-08-15
2015,22620,15-01,"Forrest City, AR",micropolitan,368,"Memphis-Forrest City, TN-MS-AR",1,0,05,2015-07-15,2017-08-15
2015,22660,15-01,"Fort Collins, CO",metropolitan,,,1,0,08,2015-07-15,2017-08-15
2015,22700,15-01,"Fort Dodge, IA",micropolitan,,,1,0,19,2015-07-15,2017-08-15
2015,22780,15-01,"Fort Leonard Wood, MO",micropolitan,,,1,0,29,2015-07-15,2017-08-15
2015,22800,15-01,"Fort Madison-Keokuk, IA-IL-MO",micropolitan,,,3,0,"17,19,29",2015-07-15,2017-08-15
2015,22820,15-01,"Fort Morgan, CO",micropolitan,,,1,0,08,2015-07-15,2017-08-15
2015,22840,15-01,"Fort Payne, AL",micropolitan,290,"Huntsville-Decatur-Albertville, AL",1,0,01,2015-07-15,2017-08-15
2015,22860,15-01,"Fort Polk South, LA",micropolitan,217,"DeRidder-Fort Polk South, LA",1,0,22,2015-07-15,2017-08-15
2015,22900,15-01,"Fort Smith, AR-OK",metropolitan,,,4,0,"05,40",2015-07-15,2017-08-15
2015,23060,15-01,"Fort Wayne, IN",metropolitan,258,"Fort Wayne-Huntington-Auburn, IN",3,0,18,2015-07-15,2017-08-15
2015,23140,15-01,"Frankfort, IN",micropolitan,320,"Lafayette-West Lafayette-Frankfort, IN",1,0,18,2015-07-15,2017-08-15
